Goal,date, Monthly Investment , My Portfolio , S&P 500 Benchmark , KOSPI Benchmark , Savings Benchmark , Expected Path ,,,
은퇴 자금 마련,2023-11-30, 66519.29836882155 , 10448941.457127824 , 9459540.057693366 , 6859834.341340898 , 7122865.688022844 , 10677600.02694868 ,,,
은퇴 자금 마련,2023-12-31, 66519.29836882155 , 10693582.750145594 , 9944177.791756129 , 7250696.238335338 , 7207192.150611722 , 10796863.361806527 ,,,
은퇴 자금 마련,2024-01-31, 66519.29836882155 , 10993380.732786018 , 10168484.968521114 , 6884915.3105561165 , 7291729.429357072 , 10949189.892158281 ,,,
은퇴 자금 마련,2024-02-29, 66519.29836882155 , 11433452.472660039 , 10760637.351861151 , 7351649.359272303 , 7376478.051299286 , 11102727.025764799 ,,,
은퇴 자금 마련,2024-03-31, 66519.29836882155 , 11876372.461087316 , 11160636.216413192 , 7707932.047331779 , 7461438.544796356 , 11257484.38380131 ,,,
은퇴 자금 마련,2024-04-30, 66519.29836882155 , 11767114.611634405 , 10762392.562440794 , 7620955.854135264 , 7546611.439527168 , 11413471.663906584 ,,,
은퇴 자금 마련,2024-05-31, 66519.29836882155 , 12083649.957966298 , 11345432.441069191 , 7529896.101005523 , 7631997.266494807 , 11570698.64079062 ,,,
은퇴 자금 마련,2024-06-30, 66519.29836882155 , 12426590.100686796 , 11804978.732180318 , 8056740.886996569 , 7717596.558029865 , 11729175.16684717 ,,,
은퇴 자금 마련,2024-07-31, 66519.29836882155 , 12584618.035509232 , 12004817.551513216 ," 8,044,766 ", 7803409.847793761 , 11888911.172771111 ,,,
은퇴 자금 마련,2024-08-31, 66519.29836882155 , 12683086.081328044 , 12345129.960410586 , 7831075.485374803 , 7889437.670782067 , 12049916.668180753 ,,,
은퇴 자금 마련,2024-09-30, 66519.29836882155 , 12941047.304436458 , 12660640.529775035 , 7659929.024192348 , 7975680.563327843 , 12212201.742245061 ,,,
은퇴 자금 마련,2024-10-31, 66519.29836882155 , 13126087.679068591 , 12601510.943104764 , 7616451.872403268 , 8062139.063104984 , 12375776.564315895 ,,,
은퇴 자금 마련,2024-11-30, 66519.29836882155 , 13198354.522334874 , 13389764.846122572 , 7383939.677288059 , 8148813.709131569 , 12540651.38456524 ,,,
은퇴 자금 마련,2024-12-31, 66519.29836882155 , 13335888.085547883 , 13121304.082169484 , 7280485.664432871 , 8235705.041773219 , 12706836.534627533 ,,,
은퇴 자금 마련,2025-01-31, 66519.29836882155 , 13823564.519828275 , 13541951.23140234 , 7704337.541837906 , 8322813.602746473 , 12922127.49985871 ,,,
은퇴 자금 마련,2025-02-28, 66519.29836882155 , 13824330.099087879 , 13415232.996567048 , 7817664.4225254785 ," 8,410,140 ", 13139939.092129558 ,,,
은퇴 자금 마련,2025-03-31, 66519.29836882155 , 13915362.05958172 , 12709408.127349108 , 7724371.261417914 , 8497684.583328785 , 13360300.82294636 ,,,
은퇴 자금 마련,2025-04-30, 66519.29836882155 , 14027686.583517998 , 12678667.913929649 ," 8,025,555 ", 8585448.093155928 , 13583242.54933617 ,,,
은퇴 자금 마련,2025-05-31, 66519.29836882155 , 14374952.993774522 , 13524877.146384768 , 8534514.095309896 , 8673431.011757638 , 13808794.477892177 ,,,
은퇴 자금 마련,2025-06-30, 66519.29836882155 , 14836916.07233952 , 14261951.472597035 ," 9,783,949 ", 8761633.887655852 , 14036987.168866418 ,,,
은퇴 자금 마련,2025-07-31, 66519.29836882155 , 15045527.852053178 , 14637088.425919844 , 10246105.529907292 , 8850057.270743813 , 14267851.540310424 ,,,
단기 저축 목표,2016-01-31, 1169229.6869196328 , 1169229.6869196328 , 1168645.072076173 , 1168645.072076173 , 1169229.6869196328 , 1169229.6869196328 ,,,
단기 저축 목표,2016-02-29, 1169229.6869196328 , 2340267.171808526 , 2332436.3400946725 , 2340052.956173166 , 2341382.4480565647 , 2351094.415353706 ,,,
단기 저축 목표,2016-03-31, 1169229.6869196328 , 3618537.689207707 , 3654943.174705682 , 3605283.711166616 , 3516465.591096339 ," 3,545,731 ",,,
단기 저축 목표,2016-04-30, 1169229.6869196328 , 4790315.516635851 , 4833363.020533966 , 4770707.699892535 , 4694486.441993712 , 4753276.624204548 ,,,
단기 저축 목표,2016-05-31, 1169229.6869196328 , 6084692.751985852 , 6075956.625684736 , 5913436.214092502 , 5875452.345018329 , 5973871.622960102 ,,,
단기 저축 목표,2016-06-30, 1169229.6869196328 , 7264198.146075706 , 7249984.5167896785 , 7042926.784394767 , 7059370.662800508 , 7207656.731968693 ,,,
단기 저축 목표,2016-07-31, 1169229.6869196328 , 8775332.296247762 , 8676618.843360435 , 8375131.403851062 , 8246248.7763771415 ," 8,454,774 ",,,
단기 저축 목표,2016-08-31, 1169229.6869196328 , 9993326.122808708 ," 9,834,468 ", 9620109.236418083 , 9436094.085237717 , 9715368.965950353 ,,,
단기 저축 목표,2016-09-30, 1169229.6869196328 , 11282631.62992692 , 10990727.134083796 , 10830812.164214218 , 10628914.007370444 , 10989585.800892448 ,,,
단기 저축 목표,2016-10-31, 1169229.6869196328 , 12343096.216639487 , 11945595.101698093 , 11811181.354504524 , 11824715.979308503 , 12277572.199495135 ,,,
단기 저축 목표,2016-11-30, 1169229.6869196328 , 13472767.330550825 , 13522176.534463625 , 12834002.282974605 , 13023507.456176406 , 13579476.959732356 ,,,
단기 저축 목표,2016-12-31, 1169229.6869196328 , 14752596.507621916 , 14936597.474927183 , 14280212.418476459 , 14225295.911736479 , 14895450.487532929 ,,,
단기 저축 목표,2017-01-31, 1169229.6869196328 , 16420147.475233657 , 16372000.591573138 , 15737959.555674983 , 15430088.838435452 , 16187894.529411152 ,,,
단기 저축 목표,2017-02-28, 1169229.6869196328 , 18053244.69478309 , 18149244.66225387 , 17089165.257360708 , 16637893.747451173 , 17491029.59799403 ,,,
